Principal|Nivel|Artículo|Descripción|Tipo|Estado|Planeador|Sec Artículo|Sec Op|UDM|Cantidad Unitaria|Cantidad Extendida|Tipo Suministro|Subinventario|Localizador|Tipo Costo|Costo Materiales|Costo Recurso|Gsto Grl|Costo Unitario|Costo Extendido|Accesorio S/N|Fecha inactivo|Alterno|Component_Yiel|Categoria Producto
22000009983|1|22000168|TORNILLO ANCLAJE NYLON 3/16 X 1.1/4 REF: NR-3114|MP|Active||50|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22000185|REMACHE POP 4-3|MP|Active||60|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22001520|ESCUADRA 25X25 HVA125-25|MP|Active||70|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22008555|GENERICO PINTURA EN POLVO MUEBLES|MP|Active||80|10|kg|.5|.5|Proceso Tirar Operación|MP_WIP|PI.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22005645|TORNILLO ESTUFA CABEZA REDONDA PHILLIPS 3/4 X 1/4 ZINCADO|MP|Active||110|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22012502|ARANDELA S/M DIAM. 5/16 ZINC NEGRO|MP|Active||120|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22014226|STICKER TROQUELADO VERDE POLO A TIERRA ETIQUETA DE SEGURIDAD|ME|Active||130|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22001412|EMPAQUE SUPERFICIE 30 X 2 UNIDADES|ME|Active||140|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|0|22000010521|SUPERFICIE INTEGRACION DUCTO RECTA ESQUINAS RECTAS UNICOR CON FORMICA 3X123X29.5CM LINK LKSU020070||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000010521|1|22000158|TORNILLO CABEZA EXTRAPLANA 8 X 1 REF: 32Z NEGRO|MP|Active||60|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|1|25005228|PARTE-COMPLEMENTO LAMINA UNION SUPERFICIES MULTIPLE MAC390010|AI|Active||70|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|2|22008319|LAMINA PLANA HR 4X8  ESPESOR 2.5MM|MP|Active||20|10|kg|.0283908|.0283908|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|1|25029933|CANTEADO-SUPERFICIE INTEGRACION DUCTO RECTA ESQUINAS RECTAS FORMICA 3X123X29.5CM LINK LKSU020070|AI|Active||180|10|und|1|1|Proceso Tirar Operación|CANTEADO|CNT.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|2|25031252|PRENSADO-SUPERFICIE INTEGRACION DUCTO RECTA ESQUINAS RECTAS FORMICA 3X123X29.5CM LINK LKSU020070|AI|Active||10|10|und|1|1|Proceso Tirar Operación|PRENSADO|PRE.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|3|22015818|UNICOR POLAR SIN BALANCE DE 1830X2440MM ESPESOR 30MM|MP|Active||10|10|und|.113809426|.113809426|Proceso Tirar Operación|CARPINT|AGL.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|3|22008689|GENERICO FORMICA 1220MM X 2440MM F8|MP|Active||20|10|und|.14842448|.14842448|Proceso Tirar Operación|CARPINT|FOR.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|2|22008524|GENERICO CANTO DE 35MM ESPESOR 2MM|MP|Active||20|10|m|3.29189|3.29189|Proceso Tirar Operación|CARPINT|CTA.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|1|22024088|PINTURA POLIESTER LTGIC GRANULADO BTC GRIS NOPAL (20001378) 33652 CAJA 25 KG - RAL 9004|MP|Active||190|10|kg|.0003|.0003|Proceso Tirar Operación|MP_WIP|PI.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010521|1|22001410|EMPAQUE COLUMNA X 8 UNIDADES|ME|Active||200|10|und|.05|.05|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
